INFO 2024-10-13 00:10:53,853 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-13 00:10:53,854 autoreload Waiting for apps ready_event.
DEBUG 2024-10-13 00:10:54,494 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-13 00:10:54,517 autoreload Watching dir C:\Users\support.user5\Documents\newfolder\RMTR\RMTReports\templates with glob **/*.
DEBUG 2024-10-13 00:10:54,517 autoreload Watching dir C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-13 00:10:54,517 autoreload Watching dir C:\Users\support.user5\Documents\newfolder\RMTR\locale with glob **/*.mo.
DEBUG 2024-10-13 00:10:54,518 autoreload Watching dir C:\Users\support.user5\Documents\newfolder\RMTR\RMTReports\locale with glob **/*.mo.
DEBUG 2024-10-13 00:10:54,518 autoreload Watching dir C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-13 00:10:54,552 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-13 00:10:54,556 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-13 00:10:54,735 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\http\server.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,735 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_16_le.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,735 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\fontTools\subset\__init__.py first seen with mtime 1726474631.3232317
DEBUG 2024-10-13 00:10:54,736 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1725885130.0956144
DEBUG 2024-10-13 00:10:54,736 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,736 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\weasyprint\css\media_queries.py first seen with mtime 1726474632.6125364
DEBUG 2024-10-13 00:10:54,736 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\re\_casefix.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,736 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_common.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,737 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1707248442.0
